;c=0.2;c=0.3;c=0.4;c=0.5;c=0.52;c=0.54;c=0.56;c=0.58;c=0.6;c=0.62;c=0.64;c=0.66;c=0.68;c=0.7;c=0.8
1-0-0-0-0;9381;9168;8969;8710;8660;8616;8564;8517;8463;8405;8341;8277;8201;8125;7655
0-1-0-0-0;9362;9129;8924;8651;8599;8541;8467;8407;8334;8260;8184;8098;8031;7961;7393
0-0-1-0-0;9425;9202;8932;8671;8616;8558;8485;8413;8335;8264;8197;8115;8036;7946;7357
0-0-0-1-0;9318;9077;8835;8572;8501;8429;8378;8310;8247;8171;8094;8022;7938;7857;7273
0-0-0-0-1;9321;9070;8830;8555;8487;8433;8364;8305;8233;8169;8089;8017;7929;7829;7262
