;c=0.2;c=0.3;c=0.4;c=0.5;c=0.52;c=0.54;c=0.56;c=0.58;c=0.6;c=0.62;c=0.64;c=0.66;c=0.68;c=0.7;c=0.8
1-0-0-0-0;0.71429;0.81592;0.85000;0.89691;0.91146;0.91146;0.91146;0.91667;0.92188;0.92670;0.93194;0.93194;0.94211;0.94737;0.95767
0-1-0-0-0;0.58271;0.68803;0.76389;0.83010;0.84653;0.84653;0.85149;0.86139;0.87500;0.87940;0.88442;0.88889;0.89394;0.90355;0.94241
0-0-1-0-0;0.53725;0.67965;0.76168;0.83251;0.86500;0.87879;0.88325;0.89286;0.91192;0.91710;0.93717;0.93717;0.95263;0.95263;0.98387
0-0-0-1-0;0.59677;0.70588;0.78873;0.86935;0.89286;0.91192;0.92147;0.92147;0.94211;0.94211;0.94737;0.94737;0.95238;0.95767;0.97861
0-0-0-0-1;0.63598;0.75576;0.82609;0.83902;0.85572;0.86432;0.86432;0.87374;0.88325;0.90306;0.90769;0.93194;0.93194;0.93194;0.95238
