;c=0.2;c=0.3;c=0.4;c=0.5;c=0.52;c=0.54;c=0.56;c=0.58;c=0.6;c=0.62;c=0.64;c=0.66;c=0.68;c=0.7;c=0.8
1-0-0-0-0;125;103;73;65;65;65;65;65;65;65;65;65;65;58;42
0-1-0-0-0;232;158;133;94;94;94;94;94;88;88;88;88;88;69;43
0-0-1-0-0;249;214;158;113;89;71;71;61;61;39;25;25;15;15;8
0-0-0-1-0;186;160;116;54;54;54;54;54;7;7;7;7;7;7;0
0-0-0-0-1;128;73;65;65;65;65;65;65;57;27;27;7;7;7;7
