;c=0.2;c=0.3;c=0.4;c=0.5;c=0.52;c=0.54;c=0.56;c=0.58;c=0.6;c=0.62;c=0.64;c=0.66;c=0.68;c=0.7;c=0.8
1-0-0-0-0;0.04810;0.04707;0.04662;0.04592;0.04587;0.04566;0.04563;0.04567;0.04554;0.04536;0.04536;0.04523;0.04518;0.04437;0.04364
0-1-0-0-0;0.04577;0.04533;0.04486;0.04384;0.04390;0.04387;0.04386;0.04385;0.04385;0.04371;0.04343;0.04339;0.04320;0.04316;0.04149
0-0-1-0-0;0.04074;0.04056;0.04014;0.03960;0.03976;0.03963;0.03954;0.03946;0.03935;0.03938;0.03935;0.03922;0.03918;0.03913;0.03870
0-0-0-1-0;0.04474;0.04379;0.04322;0.04276;0.04256;0.04254;0.04250;0.04252;0.04211;0.04214;0.04201;0.04196;0.04193;0.04181;0.04146
0-0-0-0-1;0.04231;0.04147;0.04067;0.04038;0.04038;0.04032;0.04017;0.04006;0.04001;0.03985;0.03978;0.03977;0.03972;0.03950;0.03872
