;c=0.2;c=0.3;c=0.4;c=0.5;c=0.52;c=0.54;c=0.56;c=0.58;c=0.6;c=0.62;c=0.64;c=0.66;c=0.68;c=0.7;c=0.8
1-0-0-0-0;194;168;147;121;113;109;107;105;101;98;90;84;75;72;47
0-1-0-0-0;205;182;154;122;117;113;108;102;98;92;89;84;78;72;47
0-0-1-0-0;227;190;160;139;136;130;122;115;109;107;102;96;90;86;58
0-0-0-1-0;198;167;136;116;113;108;106;102;94;91;86;82;79;75;46
0-0-0-0-1;198;168;147;123;117;110;106;102;100;95;88;86;82;74;55
