;c=0.2;c=0.3;c=0.4;c=0.5;c=0.52;c=0.54;c=0.56;c=0.58;c=0.6;c=0.62;c=0.64;c=0.66;c=0.68;c=0.7;c=0.8
1-0-0-0-0;5571;4796;4212;3641;3454;3380;3306;3220;2929;2878;2673;2568;2329;2282;1605
0-1-0-0-0;5824;5361;4706;3714;3552;3436;3344;3166;3040;2884;2770;2584;2424;2260;1592
0-0-1-0-0;6193;5298;4705;4169;4078;3897;3679;3544;3292;3262;3076;2981;2807;2659;1771
0-0-0-1-0;5236;4583;3637;3244;3115;3020;2994;2873;2655;2561;2409;2317;2301;2202;1544
0-0-0-0-1;5764;4944;4463;3841;3695;3585;3532;3374;3309;3145;2945;2881;2751;2532;1864
