;c=0.2;c=0.3;c=0.4;c=0.5;c=0.52;c=0.54;c=0.56;c=0.58;c=0.6;c=0.62;c=0.64;c=0.66;c=0.68;c=0.7;c=0.8
1-0-0-0-0;14;8;8;4;4;4;4;4;4;4;4;4;3;3;3
0-1-0-0-0;42;30;20;16;15;15;15;15;14;13;13;12;12;11;5
0-0-1-0-0;34;21;14;9;8;8;7;7;5;5;4;4;3;3;0
0-0-0-1-0;23;15;14;6;5;4;3;3;3;3;3;3;2;2;0
0-0-0-0-1;25;14;8;7;6;6;6;6;6;6;6;4;4;4;2
