;c=0.2;c=0.3;c=0.4;c=0.5;c=0.52;c=0.54;c=0.56;c=0.58;c=0.6;c=0.62;c=0.64;c=0.66;c=0.68;c=0.7;c=0.8
1-0-0-0-0;0.484;0.479;0.474;0.465;0.464;0.462;0.461;0.461;0.458;0.456;0.455;0.451;0.448;0.446;0.429
0-1-0-0-0;0.489;0.483;0.477;0.468;0.467;0.465;0.462;0.460;0.458;0.456;0.453;0.450;0.447;0.447;0.425
0-0-1-0-0;0.508;0.501;0.493;0.485;0.483;0.481;0.478;0.477;0.473;0.471;0.467;0.466;0.462;0.459;0.434
0-0-0-1-0;0.484;0.478;0.470;0.462;0.460;0.458;0.455;0.454;0.451;0.450;0.446;0.444;0.442;0.438;0.417
0-0-0-0-1;0.496;0.489;0.481;0.472;0.471;0.467;0.467;0.464;0.462;0.460;0.456;0.454;0.451;0.447;0.425
