;c=0.2;c=0.3;c=0.4;c=0.5;c=0.52;c=0.54;c=0.56;c=0.58;c=0.6;c=0.62;c=0.64;c=0.66;c=0.68;c=0.7;c=0.8
1-0-0-0-0;7363;6415;5665;4770;4486;4347;4273;4217;4042;3955;3649;3384;3058;2945;1969
0-1-0-0-0;7485;6692;5712;4579;4344;4228;4006;3814;3688;3506;3420;3181;2970;2783;1850
0-0-1-0-0;8434;7004;5905;5177;5061;4839;4515;4261;4026;3959;3788;3604;3323;3175;2214
0-0-0-1-0;7326;6148;4943;4211;4091;3891;3818;3697;3443;3349;3218;3081;2999;2883;1776
0-0-0-0-1;7253;6178;5472;4678;4462;4160;4029;3871;3806;3591;3345;3281;3106;2853;2137
