;c=0.2;c=0.3;c=0.4;c=0.5;c=0.52;c=0.54;c=0.56;c=0.58;c=0.6;c=0.62;c=0.64;c=0.66;c=0.68;c=0.7;c=0.8
1-0-0-0-0;0.47726;0.47903;0.47984;0.48047;0.48061;0.48081;0.48092;0.48096;0.48108;0.48148;0.48162;0.48176;0.48183;0.48213;0.48343
0-1-0-0-0;0.48005;0.48100;0.48208;0.48293;0.48283;0.48289;0.48305;0.48310;0.48339;0.48368;0.48426;0.48437;0.48495;0.48500;0.48689
0-0-1-0-0;0.48516;0.48578;0.48643;0.48728;0.48714;0.48745;0.48767;0.48782;0.48813;0.48814;0.48843;0.48894;0.48904;0.48915;0.49001
0-0-0-1-0;0.48099;0.48201;0.48290;0.48404;0.48440;0.48466;0.48471;0.48465;0.48477;0.48472;0.48494;0.48519;0.48539;0.48559;0.48634
0-0-0-0-1;0.48385;0.48486;0.48591;0.48722;0.48733;0.48747;0.48768;0.48801;0.48818;0.48842;0.48868;0.48901;0.48927;0.48981;0.49116
