;c=0.2;c=0.3;c=0.4;c=0.5;c=0.52;c=0.54;c=0.56;c=0.58;c=0.6;c=0.62;c=0.64;c=0.66;c=0.68;c=0.7;c=0.8
1-0-0-0-0;8133646;7989020;7886023;7727387;7706624;7695035;7680413;7668274;7656053;7629409;7605050;7604016;7596254;7563831;7366748
0-1-0-0-0;8019073;7871973;7693778;7626932;7610481;7598851;7573452;7556093;7549656;7503373;7456584;7445234;7408768;7389559;7119614
0-0-1-0-0;7091665;7052699;7008324;6977681;6966921;6943752;6926752;6917746;6889517;6879621;6870340;6847661;6840073;6819485;6572603
0-0-0-1-0;7823400;7775855;7714836;7566513;7524725;7509362;7500549;7495839;7456942;7430192;7412509;7391398;7366260;7347115;7156709
0-0-0-0-1;7306132;7217030;7111841;7015635;6996753;6985913;6955954;6919673;6895731;6838539;6809560;6762089;6739057;6677302;6473068
