;c=0.2;c=0.3;c=0.4;c=0.5;c=0.52;c=0.54;c=0.56;c=0.58;c=0.6;c=0.62;c=0.64;c=0.66;c=0.68;c=0.7;c=0.8
1-0-0-0-0;0.06263;0.08385;0.10501;0.13125;0.13666;0.14153;0.14707;0.15228;0.15823;0.16460;0.17111;0.17799;0.18573;0.19413;0.24412
0-1-0-0-0;0.06610;0.08917;0.11095;0.13862;0.14418;0.15048;0.15777;0.16410;0.17141;0.17909;0.18707;0.19568;0.20319;0.21089;0.26982
0-0-1-0-0;0.06402;0.08734;0.11490;0.14298;0.14887;0.15507;0.16266;0.17019;0.17828;0.18573;0.19295;0.20141;0.20992;0.21920;0.28033
0-0-0-1-0;0.07297;0.09863;0.12432;0.15222;0.15929;0.16665;0.17211;0.17936;0.18628;0.19443;0.20267;0.21036;0.21919;0.22772;0.28835
0-0-0-0-1;0.07131;0.09688;0.12237;0.15217;0.15924;0.16506;0.17222;0.17865;0.18628;0.19343;0.20163;0.20926;0.21841;0.22908;0.28822
