;c=0.2;c=0.3;c=0.4;c=0.5;c=0.52;c=0.54;c=0.56;c=0.58;c=0.6;c=0.62;c=0.64;c=0.66;c=0.68;c=0.7;c=0.8
1-0-0-0-0;10308629;10244831;10231546;10008683;9971753;9955963;9946356;9951404;9937352;9922224;9893459;9931754;9921895;9866753;9590897
0-1-0-0-0;10457976;10324191;10339840;10235883;10215425;10188969;10155355;10187829;10179541;10107653;10054119;10033226;9983238;9958536;9492940
0-0-1-0-0;8899378;8853182;8801731;8814114;8826261;8799491;8775431;8759075;8728033;8719856;8716956;8692225;8686208;8657614;8326746
0-0-0-1-0;9814534;9856322;9810476;9557713;9500400;9472780;9460266;9492854;9450401;9398449;9395258;9355207;9319781;9290682;9058442
0-0-0-0-1;9459710;9394387;9235303;9094361;9041513;9027915;9003915;8958725;8927843;8856213;8825845;8773375;8726981;8650377;8317275
