;c=0.2;c=0.3;c=0.4;c=0.5;c=0.52;c=0.54;c=0.56;c=0.58;c=0.6;c=0.62;c=0.64;c=0.66;c=0.68;c=0.7;c=0.8
1-0-0-0-0;69;56;37;22;20;20;20;20;20;20;14;14;13;13;8
0-1-0-0-0;91;65;52;44;44;44;42;35;30;30;30;30;25;18;15
0-0-1-0-0;104;63;44;40;21;18;18;18;18;12;6;6;1;1;1
0-0-0-1-0;99;78;47;36;24;24;24;24;14;14;9;9;9;7;4
0-0-0-0-1;89;67;48;43;43;43;43;35;35;29;29;21;21;21;17
