;c=0.2;c=0.3;c=0.4;c=0.5;c=0.52;c=0.54;c=0.56;c=0.58;c=0.6;c=0.62;c=0.64;c=0.66;c=0.68;c=0.7;c=0.8
1-0-0-0-0;971;1142;1292;1511;1553;1592;1633;1673;1721;1762;1816;1866;1928;1986;2356
0-1-0-0-0;948;1141;1300;1531;1571;1615;1683;1731;1789;1839;1895;1970;2025;2084;2505
0-0-1-0-0;925;1117;1346;1561;1604;1652;1716;1780;1841;1901;1955;2019;2089;2161;2606
0-0-0-1-0;1015;1228;1445;1662;1723;1788;1833;1886;1939;2005;2065;2119;2177;2241;2714
0-0-0-0-1;998;1206;1401;1620;1681;1729;1782;1831;1890;1941;2008;2068;2142;2213;2650
