;c=0.2;c=0.3;c=0.4;c=0.5;c=0.52;c=0.54;c=0.56;c=0.58;c=0.6;c=0.62;c=0.64;c=0.66;c=0.68;c=0.7;c=0.8
1-0-0-0-0;581;406;315;232;213;213;213;183;155;155;135;135;110;103;87
0-1-0-0-0;551;439;358;252;252;252;241;206;200;200;172;172;151;132;106
0-0-1-0-0;819;476;378;279;217;199;199;189;172;150;121;121;93;93;58
0-0-0-1-0;665;512;317;230;196;188;188;188;141;141;120;120;120;100;68
0-0-0-0-1;612;379;249;228;228;228;228;210;202;160;160;140;140;140;105
