;c=0.2;c=0.3;c=0.4;c=0.5;c=0.52;c=0.54;c=0.56;c=0.58;c=0.6;c=0.62;c=0.64;c=0.66;c=0.68;c=0.7;c=0.8
1-0-0-0-0;0.27222;0.27453;0.27758;0.27981;0.28300;0.28130;0.28010;0.28168;0.28272;0.28064;0.28191;0.28137;0.28526;0.28437;0.28242
0-1-0-0-0;0.27538;0.27972;0.28306;0.28861;0.29037;0.29297;0.29370;0.29579;0.29415;0.29349;0.29610;0.29630;0.29501;0.29600;0.28718
0-0-1-0-0;0.27343;0.28149;0.28945;0.28985;0.28730;0.28784;0.28904;0.28832;0.29234;0.29230;0.29244;0.29558;0.30225;0.30353;0.31092
0-0-0-1-0;0.27405;0.28039;0.28849;0.28614;0.29133;0.29163;0.29286;0.29150;0.28970;0.28460;0.29058;0.29012;0.28962;0.29179;0.30603
0-0-0-0-1;0.27358;0.28099;0.28610;0.28642;0.28771;0.29249;0.29361;0.29232;0.29359;0.29327;0.29128;0.29243;0.29209;0.29704;0.29339
