;c=0.2;c=0.3;c=0.4;c=0.5;c=0.52;c=0.54;c=0.56;c=0.58;c=0.6;c=0.62;c=0.64;c=0.66;c=0.68;c=0.7;c=0.8
1-0-0-0-0;504;307;221;135;128;117;105;89;80;74;67;59;56;51;27
0-1-0-0-0;561;346;215;139;125;115;100;91;82;76;68;64;58;52;29
0-0-1-0-0;506;268;174;97;87;74;67;58;53;47;44;39;31;27;14
0-0-0-1-0;482;267;149;89;78;69;63;56;44;39;36;36;34;29;16
0-0-0-0-1;428;251;158;87;77;70;60;58;49;40;37;33;32;29;16
