;c=0.2;c=0.3;c=0.4;c=0.5;c=0.52;c=0.54;c=0.56;c=0.58;c=0.6;c=0.62;c=0.64;c=0.66;c=0.68;c=0.7;c=0.8
1-0-0-0-0;0.04640;0.04540;0.04491;0.04426;0.04422;0.04404;0.04401;0.04404;0.04391;0.04374;0.04375;0.04360;0.04355;0.04277;0.04209
0-1-0-0-0;0.04413;0.04370;0.04321;0.04225;0.04231;0.04228;0.04227;0.04226;0.04226;0.04214;0.04186;0.04182;0.04165;0.04161;0.04007
0-0-1-0-0;0.03955;0.03936;0.03896;0.03842;0.03856;0.03844;0.03836;0.03828;0.03818;0.03820;0.03817;0.03804;0.03799;0.03795;0.03757
0-0-0-1-0;0.04340;0.04243;0.04188;0.04147;0.04128;0.04127;0.04124;0.04125;0.04084;0.04088;0.04075;0.04070;0.04068;0.04056;0.04024
0-0-0-0-1;0.04083;0.03999;0.03924;0.03898;0.03897;0.03891;0.03876;0.03868;0.03863;0.03849;0.03842;0.03841;0.03837;0.03817;0.03744
