;c=0.2;c=0.3;c=0.4;c=0.5;c=0.52;c=0.54;c=0.56;c=0.58;c=0.6;c=0.62;c=0.64;c=0.66;c=0.68;c=0.7;c=0.8
1-0-0-0-0;105201521;104824419;104267751;103712214;103644807;103560560;103470170;103342713;103159160;103072911;102966770;102893830;102809029;102540283;101178037
0-1-0-0-0;105349144;104990809;104321522;103641302;103507839;103452746;103356887;103229948;103028646;102811849;102517807;102382276;102207086;102052654;100339458
0-0-1-0-0;106686352;106353653;105966224;105580476;105470050;105412704;105333772;105260224;105154925;105084336;104976949;104868536;104790771;104680515;103122408
0-0-0-1-0;105865186;105534506;105246067;104369107;104300021;104205751;104150531;103978308;103684029;103539853;103413116;103268142;103006674;102872489;101525334
0-0-0-0-1;106331458;105686748;105210151;104663470;104517457;104406335;104260682;103951397;103792021;103696509;103559385;103429863;103179824;102894645;101283390
