;coco_average_c=_v=0_d=0.5_a=-1;coco_average_c=_v=0_d=0.5_a=0;coco_average_c=_v=0_d=0.5_a=1
1-0-0-0-0;41;41;0
0-1-0-0-0;57;57;0
0-0-1-0-0;58;58;0
0-0-0-1-0;26;26;0
0-0-0-0-1;47;47;0
1-2-0-0-0;61;61;36
1-0-2-0-0;77;77;48
1-0-0-2-0;45;45;34
1-0-0-0-2;72;72;34
0-1-2-0-0;82;82;49
0-1-0-2-0;51;51;44
0-1-0-0-2;73;73;59
0-0-1-2-0;60;60;61
0-0-1-0-2;62;62;63
0-0-0-1-2;45;45;33
1-2-3-0-0;59;62;60
1-2-0-3-0;49;53;45
1-2-0-0-3;51;53;60
1-0-2-3-0;72;77;86
1-0-2-0-3;76;79;89
1-0-0-2-3;36;40;46
0-1-2-3-0;77;70;76
0-1-2-0-3;79;85;78
0-1-0-2-3;49;55;48
0-0-1-2-3;59;65;69
1-2-3-4-0;83;78;86
1-2-3-0-4;85;93;88
1-2-0-3-4;48;56;48
1-0-2-3-4;72;81;89
0-1-2-3-4;76;83;74
1-2-3-4-5;79;83;74
