;coco_average_c=_v=0_d=0.5_a=-1;coco_average_c=_v=0_d=0.5_a=0;coco_average_c=_v=0_d=0.5_a=1
1-0-0-0-0;0.27057;0.27057;nan
0-1-0-0-0;0.29077;0.29077;nan
0-0-1-0-0;0.28022;0.28022;nan
0-0-0-1-0;0.28656;0.28656;nan
0-0-0-0-1;0.29213;0.29213;nan
1-2-0-0-0;0.27240;0.27240;0.28755
1-0-2-0-0;0.26618;0.26618;0.28933
1-0-0-2-0;0.26377;0.26377;0.30075
1-0-0-0-2;0.27151;0.27151;0.29501
0-1-2-0-0;0.27055;0.27055;0.30394
0-1-0-2-0;0.27527;0.27527;0.30774
0-1-0-0-2;0.27691;0.27691;0.30670
0-0-1-2-0;0.26651;0.26651;0.30070
0-0-1-0-2;0.26864;0.26864;0.29960
0-0-0-1-2;0.27413;0.27413;0.30639
1-2-3-0-0;0.26521;0.28031;0.29882
1-2-0-3-0;0.26155;0.27973;0.30464
1-2-0-0-3;0.26517;0.27933;0.30106
1-0-2-3-0;0.25635;0.27388;0.29956
1-0-2-0-3;0.26028;0.27563;0.29920
1-0-0-2-3;0.25753;0.27555;0.30380
0-1-2-3-0;0.26260;0.27969;0.30433
0-1-2-0-3;0.26615;0.28171;0.30324
0-1-0-2-3;0.26635;0.28237;0.31156
0-0-1-2-3;0.26043;0.28076;0.30493
1-2-3-4-0;0.25412;0.27054;0.29187
1-2-3-0-4;0.25670;0.27333;0.29182
1-2-0-3-4;0.25607;0.27534;0.29388
1-0-2-3-4;0.25166;0.27184;0.29298
0-1-2-3-4;0.25708;0.27472;0.29789
1-2-3-4-5;0.26380;0.28048;0.29796
