;coco_average_c=_v=0_d=0.5_a=-1;coco_average_c=_v=0_d=0.5_a=0;coco_average_c=_v=0_d=0.5_a=1
1-0-0-0-0;93417455;93417455;0
0-1-0-0-0;93519674;93519674;0
0-0-1-0-0;95186319;95186319;0
0-0-0-1-0;93729151;93729151;0
0-0-0-0-1;93308338;93308338;0
1-2-0-0-0;93091549;93091549;94235837
1-0-2-0-0;93794187;93794187;94959926
1-0-0-2-0;93152272;93152272;94829485
1-0-0-0-2;93068123;93068123;94902538
0-1-2-0-0;93906873;93906873;94755721
0-1-0-2-0;93662629;93662629;94504485
0-1-0-0-2;93029810;93029810;94833345
0-0-1-2-0;93912194;93912194;95906100
0-0-1-0-2;94206208;94206208;95678310
0-0-0-1-2;93372372;93372372;94847783
1-2-3-0-0;91652168;94457103;96581775
1-2-0-3-0;91539945;94545947;96435730
1-2-0-0-3;91849687;94549856;96646212
1-0-2-3-0;92398237;95582698;97484132
1-0-2-0-3;92531815;95680929;97335099
1-0-0-2-3;91991608;95180238;96823938
0-1-2-3-0;92635672;95643602;97334006
0-1-2-0-3;92558926;95365421;97122618
0-1-0-2-3;92049824;95126457;96644481
0-0-1-2-3;92732157;95634471;97164833
1-2-3-4-0;92056243;94847844;96738209
1-2-3-0-4;92200256;94835712;96487564
1-2-0-3-4;91733664;94474793;95989107
1-0-2-3-4;92292909;95180024;96720227
0-1-2-3-4;92497145;95314208;96873671
1-2-3-4-5;93918723;95552191;96726538
