;coco_average_c=_v=0_d=0.5_a=-1;coco_average_c=_v=0_d=0.5_a=0;coco_average_c=_v=0_d=0.5_a=1
1-0-0-0-0;9659775;9659775;0
0-1-0-0-0;9369220;9369220;0
0-0-1-0-0;8539150;8539150;0
0-0-0-1-0;9006020;9006020;0
0-0-0-0-1;8459351;8459351;0
1-2-0-0-0;8038598;8038598;11308514
1-0-2-0-0;7114153;7114153;11378635
1-0-0-2-0;7378452;7378452;11729200
1-0-0-0-2;7189122;7189122;11383966
0-1-2-0-0;7209879;7209879;10823141
0-1-0-2-0;7596064;7596064;11343482
0-1-0-0-2;7224600;7224600;10968444
0-0-1-2-0;7039300;7039300;10842855
0-0-1-0-2;6810419;6810419;10556737
0-0-0-1-2;6958256;6958256;10866238
1-2-3-0-0;6532776;8870969;12700030
1-2-0-3-0;6662103;9053211;13067224
1-2-0-0-3;6574961;8856241;12696526
1-0-2-3-0;6323620;8647244;13047759
1-0-2-0-3;6256377;8508771;12640093
1-0-0-2-3;6339301;8776065;12978421
0-1-2-3-0;6526164;8836229;12625078
0-1-2-0-3;6367955;8540494;12251263
0-1-0-2-3;6404197;8808321;12591246
0-0-1-2-3;6212767;8380581;12226009
1-2-3-4-0;6085137;7968910;10352568
1-2-3-0-4;6063301;7794334;10108131
1-2-0-3-4;6057455;7949596;10272704
1-0-2-3-4;5917758;7693660;10101138
0-1-2-3-4;5997630;7785430;10008309
1-2-3-4-5;7141049;8641191;10719045
