;coco_average_c=_v=0_d=0.5_a=-1;coco_average_c=_v=0_d=0.5_a=0;coco_average_c=_v=0_d=0.5_a=1
1-0-0-0-0;2568;2568;0
0-1-0-0-0;3166;3166;0
0-0-1-0-0;3679;3679;0
0-0-0-1-0;2655;2655;0
0-0-0-0-1;3145;3145;0
1-2-0-0-0;3604;3604;2508
1-0-2-0-0;4097;4097;2619
1-0-0-2-0;3379;3379;2422
1-0-0-0-2;3676;3676;2526
0-1-2-0-0;4183;4183;3163
0-1-0-2-0;3480;3480;3101
0-1-0-0-2;3729;3729;3124
0-0-1-2-0;3949;3949;3487
0-0-1-0-2;4018;4018;3450
0-0-0-1-2;3525;3525;2780
1-2-3-0-0;3616;3640;3537
1-2-0-3-0;3331;3448;3427
1-2-0-0-3;3526;3547;3517
1-0-2-3-0;3771;3829;3933
1-0-2-0-3;3883;3880;3892
1-0-0-2-3;3367;3510;3423
0-1-2-3-0;3717;3923;3910
0-1-2-0-3;4007;3982;3986
0-1-0-2-3;3525;3659;3694
0-0-1-2-3;3826;3861;3952
1-2-3-4-0;3970;4103;4219
1-2-3-0-4;4157;4198;4142
1-2-0-3-4;3715;3956;3897
1-0-2-3-4;4141;4219;4298
0-1-2-3-4;4162;4277;4399
1-2-3-4-5;3886;4094;4119
