;coco_average_c=_v=0_d=0.5_a=-1;coco_average_c=_v=0_d=0.5_a=0;coco_average_c=_v=0_d=0.5_a=1
1-0-0-0-0;7604724;7604724;0
0-1-0-0-0;7556828;7556828;0
0-0-1-0-0;6927663;6927663;0
0-0-0-1-0;7457645;7457645;0
0-0-0-0-1;6839161;6839161;0
1-2-0-0-0;9343568;9343568;5841408
1-0-2-0-0;9288127;9288127;5105797
1-0-0-2-0;9614662;9614662;5364794
1-0-0-0-2;9211571;9211571;5224754
0-1-2-0-0;9207398;9207398;5208248
0-1-0-2-0;9531259;9531259;5535674
0-1-0-0-2;9143076;9143076;5357076
0-0-1-2-0;9093302;9093302;5345000
0-0-1-0-2;8626173;8626173;5212649
0-0-0-1-2;9217352;9217352;5114623
1-2-3-0-0;10210457;7274866;4712166
1-2-0-3-0;10524261;7438436;4929938
1-2-0-0-3;10188297;7311136;4775852
1-0-2-3-0;10464720;7169250;4632529
1-0-2-0-3;10112521;6982343;4550553
1-0-0-2-3;10499073;7171716;4545010
0-1-2-3-0;10323263;7211057;4713781
0-1-2-0-3;10007874;7025488;4651066
0-1-0-2-3;10352033;7204389;4626369
0-0-1-2-3;10079678;6956164;4641529
1-2-3-4-0;11227442;8314312;6119758
1-2-3-0-4;10947415;8160813;6031321
1-2-0-3-4;11228732;8216792;6157850
1-0-2-3-4;11172297;8019059;5962596
0-1-2-3-4;11044767;8109018;5979837
1-2-3-4-5;9012776;7055613;5487716
