;coco_average_c=_v=0_d=0.5_a=-1;coco_average_c=_v=0_d=0.5_a=0;coco_average_c=_v=0_d=0.5_a=1
1-0-0-0-0;15;15;0
0-1-0-0-0;22;22;0
0-0-1-0-0;31;31;0
0-0-0-1-0;0;0;0
0-0-0-0-1;12;12;0
1-2-0-0-0;18;18;19
1-0-2-0-0;34;34;20
1-0-0-2-0;9;9;13
1-0-0-0-2;21;21;6
0-1-2-0-0;40;40;24
0-1-0-2-0;14;14;20
0-1-0-0-2;27;27;20
0-0-1-2-0;32;32;34
0-0-1-0-2;32;32;31
0-0-0-1-2;12;12;0
1-2-3-0-0;17;23;35
1-2-0-3-0;8;15;21
1-2-0-0-3;8;14;21
1-0-2-3-0;34;40;54
1-0-2-0-3;33;39;45
1-0-0-2-3;0;6;13
0-1-2-3-0;38;40;47
0-1-2-0-3;39;39;47
0-1-0-2-3;13;14;21
0-0-1-2-3;31;32;34
1-2-3-4-0;40;48;53
1-2-3-0-4;41;47;53
1-2-0-3-4;8;15;17
1-0-2-3-4;40;47;54
0-1-2-3-4;38;39;41
1-2-3-4-5;39;39;41
