;coco_average_c=_v=0_d=0.5_a=-1;coco_average_c=_v=0_d=0.5_a=0;coco_average_c=_v=0_d=0.5_a=1
1-0-0-0-0;0.22910;0.22910;1.00000
0-1-0-0-0;0.20419;0.20419;1.00000
0-0-1-0-0;0.21414;0.21414;1.00000
0-0-0-1-0;0.25321;0.25321;1.00000
0-0-0-0-1;0.25537;0.25537;1.00000
1-2-0-0-0;0.17968;0.17968;0.23553
1-0-2-0-0;0.16917;0.16917;0.24345
1-0-0-2-0;0.18191;0.18191;0.25120
1-0-0-0-2;0.18534;0.18534;0.24618
0-1-2-0-0;0.16078;0.16078;0.21981
0-1-0-2-0;0.16853;0.16853;0.23010
0-1-0-0-2;0.17389;0.17389;0.22221
0-0-1-2-0;0.18692;0.18692;0.22811
0-0-1-0-2;0.18807;0.18807;0.22423
0-0-0-1-2;0.20719;0.20719;0.26372
1-2-3-0-0;0.18851;0.18953;0.19163
1-2-0-3-0;0.19179;0.19260;0.19566
1-2-0-0-3;0.18870;0.18945;0.19232
1-0-2-3-0;0.17992;0.18096;0.18467
1-0-2-0-3;0.17929;0.18017;0.18343
1-0-0-2-3;0.19349;0.19417;0.19920
0-1-2-3-0;0.17221;0.17279;0.17633
0-1-2-0-3;0.17025;0.17128;0.17381
0-1-0-2-3;0.18125;0.18210;0.18608
0-0-1-2-3;0.19302;0.19299;0.19653
1-2-3-4-0;0.15813;0.15959;0.16182
1-2-3-0-4;0.15786;0.15860;0.16059
1-2-0-3-4;0.16428;0.16528;0.16773
1-0-2-3-4;0.16327;0.16430;0.16724
0-1-2-3-4;0.15706;0.15777;0.15970
1-2-3-4-5;0.16695;0.16839;0.17025
