;coco_average_c=_v=0_d=0.5_a=-1;coco_average_c=_v=0_d=0.5_a=0;coco_average_c=_v=0_d=0.5_a=1
1-0-0-0-0;178;178;186
0-1-0-0-0;174;174;186
0-0-1-0-0;174;174;186
0-0-0-1-0;179;179;186
0-0-0-0-1;177;177;186
1-2-0-0-0;173;173;179
1-0-2-0-0;170;170;178
1-0-0-2-0;175;175;180
1-0-0-0-2;172;172;180
0-1-2-0-0;170;170;175
0-1-0-2-0;174;174;176
0-1-0-0-2;171;171;176
0-0-1-2-0;173;173;175
0-0-1-0-2;173;173;176
0-0-0-1-2;176;176;179
1-2-3-0-0;173;173;174
1-2-0-3-0;174;174;175
1-2-0-0-3;175;175;175
1-0-2-3-0;171;171;171
1-0-2-0-3;172;172;171
1-0-0-2-3;177;177;177
0-1-2-3-0;171;172;172
0-1-2-0-3;171;171;172
0-1-0-2-3;175;175;176
0-0-1-2-3;174;174;174
1-2-3-4-0;170;171;171
1-2-3-0-4;170;170;171
1-2-0-3-4;174;174;175
1-0-2-3-4;171;171;170
0-1-2-3-4;171;171;172
1-2-3-4-5;171;171;172
