;coco_average_c=_v=0_d=0.5_a=-1;coco_average_c=_v=0_d=0.5_a=0;coco_average_c=_v=0_d=0.5_a=1
1-0-0-0-0;605;605;0
0-1-0-0-0;845;845;0
0-0-1-0-0;971;971;0
0-0-0-1-0;701;701;0
0-0-0-0-1;767;767;0
1-2-0-0-0;773;773;747
1-0-2-0-0;935;935;700
1-0-0-2-0;746;746;654
1-0-0-0-2;726;726;711
0-1-2-0-0;1024;1024;870
0-1-0-2-0;833;833;843
0-1-0-0-2;826;826;899
0-0-1-2-0;920;920;992
0-0-1-0-2;943;943;1016
0-0-0-1-2;812;812;785
1-2-3-0-0;691;813;1020
1-2-0-3-0;666;787;998
1-2-0-0-3;656;800;1030
1-0-2-3-0;778;888;1141
1-0-2-0-3;767;883;1182
1-0-0-2-3;672;783;1018
0-1-2-3-0;845;974;1176
0-1-2-0-3;855;980;1220
0-1-0-2-3;754;890;1104
0-0-1-2-3;829;979;1195
1-2-3-4-0;841;979;1177
1-2-3-0-4;813;948;1170
1-2-0-3-4;752;905;1062
1-0-2-3-4;819;978;1180
0-1-2-3-4;881;1041;1197
1-2-3-4-5;827;981;1109
