;coco_average_c=_v=0_d=0.5_a=-1;coco_average_c=_v=0_d=0.5_a=0;coco_average_c=_v=0_d=0.5_a=1
1-0-0-0-0;65;65;0
0-1-0-0-0;94;94;0
0-0-1-0-0;71;71;0
0-0-0-1-0;7;7;0
0-0-0-0-1;27;27;0
1-2-0-0-0;85;85;70
1-0-2-0-0;107;107;63
1-0-0-2-0;49;49;31
1-0-0-0-2;69;69;23
0-1-2-0-0;107;107;94
0-1-0-2-0;61;61;77
0-1-0-0-2;78;78;70
0-0-1-2-0;70;70;77
0-0-1-0-2;71;71;47
0-0-0-1-2;27;27;7
1-2-3-0-0;68;84;118
1-2-0-3-0;43;59;95
1-2-0-0-3;34;50;87
1-0-2-3-0;96;114;133
1-0-2-0-3;87;105;101
1-0-0-2-3;7;25;31
0-1-2-3-0;97;117;129
0-1-2-0-3;97;97;127
0-1-0-2-3;42;42;76
0-0-1-2-3;60;57;75
1-2-3-4-0;104;142;130
1-2-3-0-4;104;122;128
1-2-0-3-4;43;61;73
1-0-2-3-4;104;119;139
0-1-2-3-4;97;94;110
1-2-3-4-5;97;94;106
