;coco_average_c=_v=0_d=0.5_a=-1;coco_average_c=_v=0_d=0.5_a=0;coco_average_c=_v=0_d=0.5_a=1
1-0-0-0-0;0.93382;0.93382;0.02456
0-1-0-0-0;0.83673;0.83673;0.02288
0-0-1-0-0;0.88489;0.88489;0.02434
0-0-0-1-0;0.94074;0.94074;0.02669
0-0-0-0-1;0.90580;0.90580;0.02682
1-2-0-0-0;0.85417;0.85417;0.13453
1-0-2-0-0;0.86429;0.86429;0.11814
1-0-0-2-0;0.90580;0.90580;0.12864
1-0-0-0-2;0.86525;0.86525;0.14382
0-1-2-0-0;0.82192;0.82192;0.12450
0-1-0-2-0;0.84247;0.84247;0.12601
0-1-0-0-2;0.83916;0.83916;0.14934
0-0-1-2-0;0.88406;0.88406;0.18088
0-0-1-0-2;0.87143;0.87143;0.20065
0-0-0-1-2;0.89855;0.89855;0.17209
1-2-3-0-0;0.87857;0.87234;0.86111
1-2-0-3-0;0.89130;0.88489;0.85517
1-2-0-0-3;0.89209;0.88571;0.84932
1-0-2-3-0;0.87681;0.87050;0.85211
1-0-2-0-3;0.88406;0.87770;0.85211
1-0-0-2-3;0.93333;0.92647;0.90647
0-1-2-3-0;0.85106;0.85816;0.80667
0-1-2-0-3;0.85714;0.83916;0.80667
0-1-0-2-3;0.89209;0.87943;0.83893
0-0-1-2-3;0.89706;0.88406;0.85915
1-2-3-4-0;0.85714;0.85816;0.82877
1-2-3-0-4;0.86331;0.83916;0.82313
1-2-0-3-4;0.87857;0.86014;0.84932
1-0-2-3-4;0.87681;0.85816;0.84507
0-1-2-3-4;0.85714;0.82759;0.81757
1-2-3-4-5;0.86331;0.83333;0.82877
