;coco_average_c=_v=0_d=0.5_a=-1;coco_average_c=_v=0_d=0.5_a=0;coco_average_c=_v=0_d=0.5_a=1
1-0-0-0-0;99156633;99156633;0
0-1-0-0-0;99009050;99009050;0
0-0-1-0-0;100041507;100041507;0
0-0-0-1-0;98425212;98425212;0
0-0-0-0-1;98849517;98849517;0
1-2-0-0-0;99401109;99401109;98407714
1-0-2-0-0;99685694;99685694;98371837
1-0-0-2-0;98956376;98956376;98306088
1-0-0-0-2;99455771;99455771;98992713
0-1-2-0-0;99568541;99568541;98309952
0-1-0-2-0;99394745;99394745;98136794
0-1-0-0-2;99229768;99229768;99156891
0-0-1-2-0;99189109;99189109;99286353
0-0-1-0-2;100092676;100092676;99463761
0-0-0-1-2;99248686;99248686;98292122
1-2-3-0-0;97832609;99337767;99733215
1-2-0-3-0;97759754;99518719;99561596
1-2-0-0-3;98412859;99850839;100252881
1-0-2-3-0;98307195;100050585;100249830
1-0-2-0-3;98961420;100626043;100519071
1-0-0-2-3;98395015;100114212;99814083
0-1-2-3-0;98371406;100139111;100374918
0-1-2-0-3;98878952;100431775;100503469
0-1-0-2-3;98278969;100131242;99823310
0-0-1-2-3;98737296;100224945;100128510
1-2-3-4-0;98193638;99970997;100644301
1-2-3-0-4;98703375;100313620;100774454
1-2-0-3-4;98279087;99929755;100282865
1-0-2-3-4;98533630;100295833;100461054
0-1-2-3-4;98745188;100546151;100788038
1-2-3-4-5;99565368;100249285;100437861
