;coco_average_c=_v=0_d=0.5_a=-1;coco_average_c=_v=0_d=0.5_a=0;coco_average_c=_v=0_d=0.5_a=1
1-0-0-0-0;457;457;0
0-1-0-0-0;704;704;0
0-0-1-0-0;802;802;0
0-0-0-1-0;539;539;0
0-0-0-0-1;660;660;0
1-2-0-0-0;641;641;609
1-0-2-0-0;735;735;601
1-0-0-2-0;583;583;542
1-0-0-0-2;592;592;625
0-1-2-0-0;845;845;760
0-1-0-2-0;639;639;750
0-1-0-0-2;682;682;784
0-0-1-2-0;737;737;866
0-0-1-0-2;761;761;859
0-0-0-1-2;639;639;677
1-2-3-0-0;571;703;900
1-2-0-3-0;528;660;854
1-2-0-0-3;529;677;913
1-0-2-3-0;606;727;1011
1-0-2-0-3;606;719;1033
1-0-0-2-3;524;643;888
0-1-2-3-0;653;820;1025
0-1-2-0-3;697;828;1062
0-1-0-2-3;567;742;976
0-0-1-2-3;651;809;1069
1-2-3-4-0;647;807;1012
1-2-3-0-4;645;791;991
1-2-0-3-4;563;750;914
1-0-2-3-4;649;813;1038
0-1-2-3-4;693;868;1063
1-2-3-4-5;658;830;978
