;coco_average_c=_v=0_d=0.5_a=-1;coco_average_c=_v=0_d=0.5_a=0;coco_average_c=_v=0_d=0.5_a=1
1-0-0-0-0;5;5;0
0-1-0-0-0;9;9;0
0-0-1-0-0;9;9;0
0-0-0-1-0;5;5;0
0-0-0-0-1;7;7;0
1-2-0-0-0;9;9;5
1-0-2-0-0;11;11;5
1-0-0-2-0;7;7;4
1-0-0-0-2;10;10;4
0-1-2-0-0;12;12;8
0-1-0-2-0;9;9;7
0-1-0-0-2;12;12;7
0-0-1-2-0;10;10;9
0-0-1-0-2;10;10;8
0-0-0-1-2;8;8;5
1-2-3-0-0;9;9;8
1-2-0-3-0;9;9;8
1-2-0-0-3;8;8;8
1-0-2-3-0;11;11;11
1-0-2-0-3;10;10;11
1-0-0-2-3;6;6;6
0-1-2-3-0;12;11;11
0-1-2-0-3;12;12;11
0-1-0-2-3;8;8;7
0-0-1-2-3;10;10;10
1-2-3-4-0;12;11;11
1-2-3-0-4;12;12;11
1-2-0-3-4;9;9;8
1-0-2-3-4;11;11;12
0-1-2-3-4;12;12;11
1-2-3-4-5;12;12;11
