;coco_average_c=_v=0_d=0.5_a=-1;coco_average_c=_v=0_d=0.5_a=0;coco_average_c=_v=0_d=0.5_a=1
1-0-0-0-0;0.26248;0.26248;0.53229
0-1-0-0-0;0.23490;0.23490;0.51417
0-0-1-0-0;0.24490;0.24490;0.53002
0-0-0-1-0;0.28717;0.28717;0.55353
0-0-0-0-1;0.28837;0.28837;0.55471
1-2-0-0-0;0.21000;0.21000;0.24091
1-0-2-0-0;0.19888;0.19888;0.24397
1-0-0-2-0;0.21403;0.21403;0.25371
1-0-0-0-2;0.21724;0.21724;0.25276
0-1-2-0-0;0.18944;0.18944;0.22452
0-1-0-2-0;0.19900;0.19900;0.23413
0-1-0-0-2;0.20413;0.20413;0.23169
0-0-1-2-0;0.21731;0.21731;0.24046
0-0-1-0-2;0.21872;0.21872;0.23940
0-0-0-1-2;0.23977;0.23977;0.27284
1-2-3-0-0;0.21983;0.22046;0.22215
1-2-0-3-0;0.22334;0.22387;0.22630
1-2-0-0-3;0.22013;0.22066;0.22287
1-0-2-3-0;0.21113;0.21199;0.21469
1-0-2-0-3;0.21039;0.21104;0.21362
1-0-0-2-3;0.22645;0.22699;0.23095
0-1-2-3-0;0.20240;0.20294;0.20572
0-1-2-0-3;0.20059;0.20145;0.20348
0-1-0-2-3;0.21282;0.21346;0.21676
0-0-1-2-3;0.22400;0.22389;0.22671
1-2-3-4-0;0.18767;0.18885;0.19055
1-2-3-0-4;0.18735;0.18789;0.18948
1-2-0-3-4;0.19481;0.19555;0.19746
1-0-2-3-4;0.19325;0.19401;0.19628
0-1-2-3-4;0.18647;0.18701;0.18861
1-2-3-4-5;0.19707;0.19826;0.19976
