;coco_average_c=_v=0_d=0.5_a=-1;coco_average_c=_v=0_d=0.5_a=0;coco_average_c=_v=0_d=0.5_a=1
1-0-0-0-0;0.21488;0.21488;nan
0-1-0-0-0;0.17222;0.17222;nan
0-0-1-0-0;0.19825;0.19825;nan
0-0-0-1-0;0.18834;0.18834;nan
0-0-0-0-1;0.11940;0.11940;nan
1-2-0-0-0;0.18250;0.18250;0.20792
1-0-2-0-0;0.18737;0.18737;0.18595
1-0-0-2-0;0.20580;0.20580;0.22472
1-0-0-0-2;0.16047;0.16047;0.22472
0-1-2-0-0;0.17474;0.17474;0.17500
0-1-0-2-0;0.18889;0.18889;0.19257
0-1-0-0-2;0.15955;0.15955;0.16199
0-0-1-2-0;0.20888;0.20888;0.18293
0-0-1-0-2;0.19231;0.19231;0.17252
0-0-0-1-2;0.15584;0.15584;0.15695
1-2-3-0-0;0.18750;0.18000;0.16667
1-2-0-3-0;0.19444;0.18333;0.18750
1-2-0-0-3;0.18551;0.17971;0.15942
1-0-2-3-0;0.19348;0.18261;0.16304
1-0-2-0-3;0.18202;0.17528;0.16087
1-0-0-2-3;0.21708;0.20285;0.18149
0-1-2-3-0;0.18043;0.18095;0.16667
0-1-2-0-3;0.17609;0.16304;0.16190
0-1-0-2-3;0.19643;0.17857;0.17905
0-0-1-2-3;0.20652;0.19022;0.17935
1-2-3-4-0;0.18400;0.18043;0.16304
1-2-3-0-4;0.18000;0.16400;0.15870
1-2-0-3-4;0.19722;0.17500;0.17813
1-0-2-3-4;0.19348;0.17391;0.16421
0-1-2-3-4;0.18261;0.16739;0.17143
1-2-3-4-5;0.17609;0.16739;0.17143
