;coco_average_c=_v=0_d=0.5_a=-1;coco_average_c=_v=0_d=0.5_a=0;coco_average_c=_v=0_d=0.5_a=1
1-0-0-0-0;2158;2158;10435
0-1-0-0-0;2028;2028;10435
0-0-1-0-0;1950;1950;10435
0-0-0-1-0;2188;2188;10435
0-0-0-0-1;2266;2266;10435
1-2-0-0-0;1787;1787;2237
1-0-2-0-0;1642;1642;2278
1-0-0-2-0;1736;1736;2314
1-0-0-0-2;1798;1798;2287
0-1-2-0-0;1607;1607;2152
0-1-0-2-0;1654;1654;2210
0-1-0-0-2;1744;1744;2158
0-0-1-2-0;1714;1714;2083
0-0-1-0-2;1746;1746;2081
0-0-0-1-2;1844;1844;2321
1-2-3-0-0;1848;1857;1893
1-2-0-3-0;1870;1878;1925
1-2-0-0-3;1853;1862;1899
1-0-2-3-0;1727;1736;1793
1-0-2-0-3;1734;1742;1795
1-0-0-2-3;1819;1831;1893
0-1-2-3-0;1683;1690;1738
0-1-2-0-3;1695;1705;1749
0-1-0-2-3;1767;1772;1837
0-0-1-2-3;1781;1783;1838
1-2-3-4-0;1575;1586;1611
1-2-3-0-4;1586;1593;1620
1-2-0-3-4;1639;1648;1683
1-0-2-3-4;1580;1594;1634
0-1-2-3-4;1546;1555;1584
1-2-3-4-5;1653;1670;1698
