;coco_average_c=_v=0_d=0.5_a=-1;coco_average_c=_v=0_d=0.5_a=0;coco_average_c=_v=0_d=0.5_a=1
1-0-0-0-0;0.451;0.451;0.000
0-1-0-0-0;0.460;0.460;0.000
0-0-1-0-0;0.478;0.478;0.000
0-0-0-1-0;0.451;0.451;0.000
0-0-0-0-1;0.460;0.460;0.000
1-2-0-0-0;0.472;0.472;0.444
1-0-2-0-0;0.486;0.486;0.448
1-0-0-2-0;0.472;0.472;0.436
1-0-0-0-2;0.476;0.476;0.445
0-1-2-0-0;0.490;0.490;0.457
0-1-0-2-0;0.478;0.478;0.443
0-1-0-0-2;0.478;0.478;0.453
0-0-1-2-0;0.483;0.483;0.458
0-0-1-0-2;0.486;0.486;0.463
0-0-0-1-2;0.475;0.475;0.446
1-2-3-0-0;0.475;0.479;0.461
1-2-0-3-0;0.468;0.476;0.450
1-2-0-0-3;0.473;0.478;0.459
1-0-2-3-0;0.478;0.487;0.462
1-0-2-0-3;0.482;0.488;0.468
1-0-0-2-3;0.473;0.480;0.454
0-1-2-3-0;0.483;0.487;0.465
0-1-2-0-3;0.484;0.489;0.469
0-1-0-2-3;0.476;0.481;0.460
0-0-1-2-3;0.480;0.488;0.464
1-2-3-4-0;0.482;0.492;0.486
1-2-3-0-4;0.484;0.493;0.488
1-2-0-3-4;0.477;0.488;0.480
1-0-2-3-4;0.483;0.494;0.487
0-1-2-3-4;0.485;0.495;0.488
1-2-3-4-5;0.490;0.492;0.481
