;coco_average_c=_v=0_d=0.5_a=-1;coco_average_c=_v=0_d=0.5_a=0;coco_average_c=_v=0_d=0.5_a=1
1-0-0-0-0;0.02618;0.02618;0.98196
0-1-0-0-0;0.07921;0.07921;0.98268
0-0-1-0-0;0.05584;0.05584;0.98218
0-0-0-1-0;0.02105;0.02105;0.98120
0-0-0-0-1;0.05102;0.05102;0.98100
1-2-0-0-0;0.07000;0.07000;0.88069
1-0-2-0-0;0.06533;0.06533;0.89836
1-0-0-2-0;0.04124;0.04124;0.89503
1-0-0-0-2;0.07000;0.07000;0.87658
0-1-2-0-0;0.09268;0.09268;0.89359
0-1-0-2-0;0.07921;0.07921;0.89438
0-1-0-0-2;0.07921;0.07921;0.86743
0-0-1-2-0;0.04615;0.04615;0.85812
0-0-1-0-2;0.07000;0.07000;0.84691
0-0-0-1-2;0.05102;0.05102;0.86551
1-2-3-0-0;0.05102;0.05584;0.07921
1-2-0-3-0;0.04124;0.04615;0.08374
1-2-0-0-3;0.04615;0.05584;0.08824
1-0-2-3-0;0.03627;0.04124;0.07000
1-0-2-0-3;0.04124;0.04615;0.08374
1-0-0-2-3;0.02618;0.03125;0.06061
0-1-2-3-0;0.05102;0.05584;0.11005
0-1-2-0-3;0.05102;0.07000;0.11005
0-1-0-2-3;0.04124;0.05102;0.09268
0-0-1-2-3;0.02618;0.04124;0.07463
1-2-3-4-0;0.05102;0.06061;0.09709
1-2-3-0-4;0.05102;0.07921;0.10577
1-2-0-3-4;0.05102;0.07000;0.08824
1-0-2-3-4;0.04124;0.06061;0.08374
0-1-2-3-4;0.05102;0.07921;0.10577
1-2-3-4-5;0.04124;0.07463;0.09268
