;coco_average_c=_v=0_d=0.5_a=-1;coco_average_c=_v=0_d=0.5_a=0;coco_average_c=_v=0_d=0.5_a=1
1-0-0-0-0;0.57687;0.57687;0.00000
0-1-0-0-0;0.57484;0.57484;0.00000
0-0-1-0-0;0.60668;0.60668;0.00000
0-0-0-1-0;0.59656;0.59656;0.00000
0-0-0-0-1;0.59813;0.59813;0.00000
1-2-0-0-0;0.57908;0.57908;0.51728
1-0-2-0-0;0.59917;0.59917;0.50915
1-0-0-2-0;0.59736;0.59736;0.51672
1-0-0-0-2;0.59548;0.59548;0.52308
0-1-2-0-0;0.58853;0.58853;0.51977
0-1-0-2-0;0.58998;0.58998;0.52023
0-1-0-0-2;0.58578;0.58578;0.53086
0-0-1-2-0;0.60914;0.60914;0.56156
0-0-1-0-2;0.60888;0.60888;0.56630
0-0-0-1-2;0.61083;0.61083;0.54077
1-2-3-0-0;0.58838;0.58709;0.58366
1-2-0-3-0;0.59026;0.58918;0.58422
1-2-0-0-3;0.58918;0.58810;0.58359
1-0-2-3-0;0.60852;0.60675;0.60126
1-0-2-0-3;0.60746;0.60614;0.60087
1-0-0-2-3;0.60507;0.60395;0.59573
0-1-2-3-0;0.60167;0.60059;0.59501
0-1-2-0-3;0.60003;0.59831;0.59425
0-1-0-2-3;0.59913;0.59782;0.59112
0-0-1-2-3;0.61242;0.61265;0.60679
1-2-3-4-0;0.59818;0.59587;0.59252
1-2-3-0-4;0.59551;0.59447;0.59134
1-2-0-3-4;0.59594;0.59447;0.59067
1-0-2-3-4;0.60865;0.60714;0.60262
0-1-2-3-4;0.60042;0.59937;0.59621
1-2-3-4-5;0.60397;0.60161;0.59861
