;coco_average_c=_v=0_d=0.5_a=-1;coco_average_c=_v=0_d=0.5_a=0;coco_average_c=_v=0_d=0.5_a=1
1-0-0-0-0;0.53141;0.53141;nan
0-1-0-0-0;0.50732;0.50732;nan
0-0-1-0-0;0.51348;0.51348;nan
0-0-0-1-0;0.51121;0.51121;nan
0-0-0-0-1;0.51373;0.51373;nan
1-2-0-0-0;0.52772;0.52772;0.50768
1-0-2-0-0;0.52649;0.52649;0.51061
1-0-0-2-0;0.53235;0.53235;0.50529
1-0-0-0-2;0.53650;0.53650;0.50075
0-1-2-0-0;0.52013;0.52013;0.49827
0-1-0-2-0;0.52423;0.52423;0.49550
0-1-0-0-2;0.52467;0.52467;0.49272
0-0-1-2-0;0.52374;0.52374;0.49591
0-0-1-0-2;0.52402;0.52402;0.49591
0-0-0-1-2;0.52087;0.52087;0.49172
1-2-3-0-0;0.53542;0.52218;0.49750
1-2-0-3-0;0.53808;0.52322;0.49668
1-2-0-0-3;0.53962;0.52204;0.49396
1-0-2-3-0;0.53330;0.52125;0.49378
1-0-2-0-3;0.53678;0.52407;0.49128
1-0-0-2-3;0.53492;0.52132;0.49208
0-1-2-3-0;0.52736;0.51349;0.49034
0-1-2-0-3;0.52763;0.51403;0.48793
0-1-0-2-3;0.52790;0.51199;0.48713
0-0-1-2-3;0.52848;0.51217;0.48752
1-2-3-4-0;0.53475;0.52224;0.50170
1-2-3-0-4;0.53815;0.52428;0.50149
1-2-0-3-4;0.53555;0.51889;0.50190
1-0-2-3-4;0.53722;0.52142;0.50074
0-1-2-3-4;0.53130;0.51535;0.49871
1-2-3-4-5;0.53130;0.51504;0.50143
