;coco_average_c=_v=0_d=0.5_a=-1;coco_average_c=_v=0_d=0.5_a=0;coco_average_c=_v=0_d=0.5_a=1
1-0-0-0-0;9660240;9660240;0
0-1-0-0-0;9369945;9369945;0
0-0-1-0-0;8539959;8539959;0
0-0-0-1-0;9006559;9006559;0
0-0-0-0-1;8460019;8460019;0
1-2-0-0-0;8039247;8039247;11309135
1-0-2-0-0;7114896;7114896;11379246
1-0-0-2-0;7379038;7379038;11729747
1-0-0-0-2;7189725;7189725;11384596
0-1-2-0-0;7210736;7210736;10823922
0-1-0-2-0;7596709;7596709;11344250
0-1-0-0-2;7225299;7225299;10969242
0-0-1-2-0;7040045;7040045;10843734
0-0-1-0-2;6811187;6811187;10557606
0-0-0-1-2;6958903;6958903;10866915
1-2-3-0-0;6533350;8871680;12700952
1-2-0-3-0;6662634;9053879;13068098
1-2-0-0-3;6575491;8856924;12697456
1-0-2-3-0;6324235;8647983;13048793
1-0-2-0-3;6256990;8509500;12641149
1-0-0-2-3;6339825;8776711;12979314
0-1-2-3-0;6526829;8837063;12626131
0-1-2-0-3;6368664;8541334;12252355
0-1-0-2-3;6404769;8809068;12592241
0-0-1-2-3;6213426;8381401;12227093
1-2-3-4-0;6085793;7969731;10353606
1-2-3-0-4;6063955;7795137;10109150
1-2-0-3-4;6058021;7950352;10273634
1-0-2-3-4;5918416;7694488;10102202
0-1-2-3-4;5998335;7786313;10009393
1-2-3-4-5;7141719;8642036;10720048
