;coco_average_c=_v=0_d=0.5_a=-1;coco_average_c=_v=0_d=0.5_a=0;coco_average_c=_v=0_d=0.5_a=1
1-0-0-0-0;0.03560;0.03560;nan
0-1-0-0-0;0.03536;0.03536;nan
0-0-1-0-0;0.03207;0.03207;nan
0-0-0-1-0;0.03487;0.03487;nan
0-0-0-0-1;0.03221;0.03221;nan
1-2-0-0-0;0.04323;0.04323;0.02756
1-0-2-0-0;0.04266;0.04266;0.02410
1-0-0-2-0;0.04433;0.04433;0.02530
1-0-0-0-2;0.04263;0.04263;0.02464
0-1-2-0-0;0.04227;0.04227;0.02459
0-1-0-2-0;0.04378;0.04378;0.02613
0-1-0-0-2;0.04233;0.04233;0.02525
0-0-1-2-0;0.04178;0.04178;0.02495
0-0-1-0-2;0.03969;0.03969;0.02438
0-0-0-1-2;0.04256;0.04256;0.02414
1-2-3-0-0;0.04746;0.03385;0.02200
1-2-0-3-0;0.04884;0.03453;0.02299
1-2-0-0-3;0.04729;0.03398;0.02226
1-0-2-3-0;0.04818;0.03303;0.02145
1-0-2-0-3;0.04667;0.03222;0.02112
1-0-0-2-3;0.04851;0.03317;0.02117
0-1-2-3-0;0.04747;0.03318;0.02183
0-1-2-0-3;0.04618;0.03246;0.02159
0-1-0-2-3;0.04786;0.03332;0.02156
0-0-1-2-3;0.04639;0.03207;0.02151
1-2-3-4-0;0.05150;0.03816;0.02816
1-2-3-0-4;0.05029;0.03753;0.02784
1-2-0-3-4;0.05169;0.03789;0.02850
1-0-2-3-4;0.05115;0.03678;0.02745
0-1-2-3-4;0.05053;0.03713;0.02748
1-2-3-4-5;0.04149;0.03255;0.02540
