;coco_average_c=_v=0_d=0.5_a=-1;coco_average_c=_v=0_d=0.5_a=0;coco_average_c=_v=0_d=0.5_a=1
1-0-0-0-0;59;59;0
0-1-0-0-0;91;91;0
0-0-1-0-0;67;67;0
0-0-0-1-0;44;44;0
0-0-0-0-1;40;40;0
1-2-0-0-0;111;111;65
1-0-2-0-0;98;98;53
1-0-0-2-0;79;79;50
1-0-0-0-2;77;77;49
0-1-2-0-0;125;125;65
0-1-0-2-0;113;113;64
0-1-0-0-2;105;105;66
0-0-1-2-0;80;80;65
0-0-1-0-2;78;78;61
0-0-0-1-2;61;61;43
1-2-3-0-0;74;81;101
1-2-0-3-0;74;85;106
1-2-0-0-3;79;85;101
1-0-2-3-0;70;76;104
1-0-2-0-3;73;83;94
1-0-0-2-3;53;62;87
0-1-2-3-0;87;95;111
0-1-2-0-3;91;91;108
0-1-0-2-3;75;80;98
0-0-1-2-3;68;71;90
1-2-3-4-0;102;111;131
1-2-3-0-4;104;109;126
1-2-0-3-4;88;96;123
1-0-2-3-4;83;91;112
0-1-2-3-4;102;103;125
1-2-3-4-5;85;88;109
