;coco_average_c=_v=0_d=0.5_a=-1;coco_average_c=_v=0_d=0.5_a=0;coco_average_c=_v=0_d=0.5_a=1
1-0-0-0-0;39;39;0
0-1-0-0-0;59;59;0
0-0-1-0-0;39;39;0
0-0-0-1-0;24;24;0
0-0-0-0-1;22;22;0
1-2-0-0-0;68;68;46
1-0-2-0-0;62;62;39
1-0-0-2-0;46;46;31
1-0-0-0-2;45;45;32
0-1-2-0-0;77;77;47
0-1-0-2-0;68;68;39
0-1-0-0-2;67;67;41
0-0-1-2-0;43;43;38
0-0-1-0-2;46;46;35
0-0-0-1-2;31;31;27
1-2-3-0-0;49;54;70
1-2-0-3-0;47;54;66
1-2-0-0-3;52;57;66
1-0-2-3-0;46;48;66
1-0-2-0-3;49;54;60
1-0-0-2-3;35;37;55
0-1-2-3-0;53;58;67
0-1-2-0-3;59;59;69
0-1-0-2-3;48;51;60
0-0-1-2-3;38;39;49
1-2-3-4-0;63;69;79
1-2-3-0-4;68;71;83
1-2-0-3-4;57;61;78
1-0-2-3-4;51;56;67
0-1-2-3-4;62;62;72
1-2-3-4-5;56;56;68
