;coco_average_c=_v=0_d=0.5_a=-1;coco_average_c=_v=0_d=0.5_a=0;coco_average_c=_v=0_d=0.5_a=1
1-0-0-0-0;0.19005;0.19005;0.00000
0-1-0-0-0;0.21519;0.21519;0.00000
0-0-1-0-0;0.27111;0.27111;0.00000
0-0-0-1-0;0.22014;0.22014;0.00000
0-0-0-0-1;0.22459;0.22459;0.00000
1-2-0-0-0;0.23077;0.23077;0.18527
1-0-2-0-0;0.27859;0.27859;0.18578
1-0-0-2-0;0.25541;0.25541;0.17552
1-0-0-0-2;0.24348;0.24348;0.18287
0-1-2-0-0;0.26969;0.26969;0.21875
0-1-0-2-0;0.24597;0.24597;0.21253
0-1-0-0-2;0.23566;0.23566;0.21826
0-0-1-2-0;0.28726;0.28726;0.25223
0-0-1-0-2;0.28200;0.28200;0.25225
0-0-0-1-2;0.25676;0.25676;0.21362
1-2-3-0-0;0.24289;0.24138;0.22934
1-2-0-3-0;0.24070;0.23504;0.22495
1-2-0-0-3;0.24026;0.23718;0.22934
1-0-2-3-0;0.27594;0.27233;0.25873
1-0-2-0-3;0.27632;0.27039;0.26415
1-0-0-2-3;0.25917;0.25393;0.24255
0-1-2-3-0;0.27234;0.26778;0.25911
0-1-2-0-3;0.26793;0.26793;0.25866
0-1-0-2-3;0.25764;0.25486;0.24740
0-0-1-2-3;0.28381;0.28194;0.27273
1-2-3-4-0;0.28247;0.27935;0.26848
1-2-3-0-4;0.27721;0.27439;0.26523
1-2-0-3-4;0.26964;0.26514;0.25296
1-0-2-3-4;0.30043;0.29536;0.28485
0-1-2-3-4;0.28660;0.28601;0.27559
1-2-3-4-5;0.27991;0.27813;0.26626
