;coco_average_c=_v=0_d=0.5_a=-1;coco_average_c=_v=0_d=0.5_a=0;coco_average_c=_v=0_d=0.5_a=1
1-0-0-0-0;102886962;102886962;0
0-1-0-0-0;103222196;103222196;0
0-0-1-0-0;105324927;105324927;0
0-0-0-1-0;103676461;103676461;0
0-0-0-0-1;103688884;103688884;0
1-2-0-0-0;105652863;105652863;100555239
1-0-2-0-0;107486794;107486794;100391355
1-0-0-2-0;106741006;106741006;100067369
1-0-0-0-2;106599145;106599145;100540903
0-1-2-0-0;107480865;107480865;100963356
0-1-0-2-0;106894387;106894387;100414997
0-1-0-0-2;106565767;106565767;100997711
0-0-1-2-0;107581846;107581846;102148142
0-0-1-0-2;107675505;107675505;102336077
0-0-0-1-2;107019741;107019741;101005308
1-2-3-0-0;106734450;104320086;100203249
1-2-0-3-0;106762208;104341402;99970864
1-2-0-0-3;106822302;104431143;100405296
1-0-2-3-0;108004376;105648418;100809787
1-0-2-0-3;107776031;105540207;100951529
1-0-0-2-3;107567197;105053584;100321862
0-1-2-3-0;107953634;105608222;101212626
0-1-2-0-3;107737448;105468211;101369489
0-1-0-2-3;107487069;105047058;100648808
0-0-1-2-3;108238003;105937454;101689215
1-2-3-4-0;108601141;106749967;104094480
1-2-3-0-4;108452927;106644432;104018888
1-2-0-3-4;108210480;106189387;103616102
1-0-2-3-4;109020218;107079324;104402818
0-1-2-3-4;109008442;107166464;104690777
1-2-3-4-5;107123759;105454867;103110808
