;coco_average_c=_v=0_d=0.5_a=-1;coco_average_c=_v=0_d=0.5_a=0;coco_average_c=_v=0_d=0.5_a=1
1-0-0-0-0;93416070;93416070;0
0-1-0-0-0;93517811;93517811;0
0-0-1-0-0;95184202;95184202;0
0-0-0-1-0;93727644;93727644;0
0-0-0-0-1;93306540;93306540;0
1-2-0-0-0;93089633;93089633;94234358
1-0-2-0-0;93791987;93791987;94958384
1-0-0-2-0;93150473;93150473;94828039
1-0-0-0-2;93066206;93066206;94901024
0-1-2-0-0;93904553;93904553;94753802
0-1-0-2-0;93660658;93660658;94502590
0-1-0-0-2;93027822;93027822;94831388
0-0-1-2-0;93910055;93910055;95903922
0-0-1-0-2;94204042;94204042;95676174
0-0-0-1-2;93370474;93370474;94846099
1-2-3-0-0;91650307;94455099;96579614
1-2-0-3-0;91538219;94544057;96433616
1-2-0-0-3;91847919;94547961;96644050
1-0-2-3-0;92396267;95580558;97481674
1-0-2-0-3;92529825;95678811;97332636
1-0-0-2-3;91989919;95178371;96821807
0-1-2-3-0;92633623;95641346;97331511
0-1-2-0-3;92556812;95363152;97120092
0-1-0-2-3;92047963;95124396;96642107
0-0-1-2-3;92730149;95632232;97162321
1-2-3-4-0;92054153;94845548;96735674
1-2-3-0-4;92198153;94833416;96485092
1-2-0-3-4;91731798;94472669;95986811
1-0-2-3-4;92290808;95177671;96717649
0-1-2-3-4;92494965;95311796;96871009
1-2-3-4-5;93916654;95549898;96724070
