;coco_average_c=_v=0_d=0.5_a=-1;coco_average_c=_v=0_d=0.5_a=0;coco_average_c=_v=0_d=0.5_a=1
1-0-0-0-0;1753;1753;10122
0-1-0-0-0;2030;2030;10551
0-0-1-0-0;1631;1631;10250
0-0-0-1-0;1359;1359;9707
0-0-0-0-1;1330;1330;9603
1-2-0-0-0;2470;2470;2957
1-0-2-0-0;2412;2412;3109
1-0-0-2-0;2301;2301;2926
1-0-0-0-2;2237;2237;2767
0-1-2-0-0;2621;2621;3210
0-1-0-2-0;2512;2512;3097
0-1-0-0-2;2445;2445;2881
0-0-1-2-0;2109;2109;2500
0-0-1-0-2;2095;2095;2451
0-0-0-1-2;1892;1892;2395
1-2-3-0-0;2079;2087;2125
1-2-0-3-0;2021;2029;2077
1-2-0-0-3;2097;2106;2143
1-0-2-3-0;1960;1969;2025
1-0-2-0-3;2029;2037;2089
1-0-0-2-3;1883;1895;1956
0-1-2-3-0;2120;2128;2176
0-1-2-0-3;2178;2188;2233
0-1-0-2-3;2069;2074;2139
0-0-1-2-3;1821;1823;1877
1-2-3-4-0;2466;2477;2502
1-2-3-0-4;2515;2522;2550
1-2-0-3-4;2434;2443;2478
1-0-2-3-4;2318;2332;2370
0-1-2-3-4;2464;2473;2502
1-2-3-4-5;2196;2213;2242
