;coco_average_c=_v=0_d=0.5_a=-1;coco_average_c=_v=0_d=0.5_a=0;coco_average_c=_v=0_d=0.5_a=1
1-0-0-0-0;0.02941;0.02941;0.97544
0-1-0-0-0;0.10204;0.10204;0.97712
0-0-1-0-0;0.05036;0.05036;0.97566
0-0-0-1-0;0.02222;0.02222;0.97331
0-0-0-0-1;0.04348;0.04348;0.97318
1-2-0-0-0;0.08333;0.08333;0.86017
1-0-2-0-0;0.05714;0.05714;0.87721
1-0-0-2-0;0.04348;0.04348;0.86734
1-0-0-0-2;0.06383;0.06383;0.85169
0-1-2-0-0;0.09589;0.09589;0.86747
0-1-0-2-0;0.09589;0.09589;0.86694
0-1-0-0-2;0.07692;0.07692;0.84229
0-0-1-2-0;0.04348;0.04348;0.80588
0-0-1-0-2;0.05714;0.05714;0.78641
0-0-0-1-2;0.04348;0.04348;0.82114
1-2-3-0-0;0.05714;0.06383;0.08333
1-2-0-3-0;0.04348;0.05036;0.08966
1-2-0-0-3;0.05036;0.05714;0.09589
1-0-2-3-0;0.04348;0.05036;0.07042
1-0-2-0-3;0.04348;0.05036;0.07042
1-0-0-2-3;0.02222;0.02941;0.05036
0-1-2-3-0;0.06383;0.06383;0.12000
0-1-2-0-3;0.05714;0.07692;0.12000
0-1-0-2-3;0.05036;0.06383;0.11409
0-0-1-2-3;0.02941;0.04348;0.07042
1-2-3-4-0;0.05714;0.06383;0.09589
1-2-3-0-4;0.05036;0.07692;0.10204
1-2-0-3-4;0.05714;0.07692;0.09589
1-0-2-3-4;0.04348;0.06383;0.07042
0-1-2-3-4;0.05714;0.08966;0.10811
1-2-3-4-5;0.05036;0.08333;0.09589
