;coco_average_c=_v=0_d=0.5_a=-1;coco_average_c=_v=0_d=0.5_a=0;coco_average_c=_v=0_d=0.5_a=1
1-0-0-0-0;0.65603;0.65603;0.00000
0-1-0-0-0;0.65375;0.65375;0.00000
0-0-1-0-0;0.68215;0.68215;0.00000
0-0-0-1-0;0.67524;0.67524;0.00000
0-0-0-0-1;0.67075;0.67075;0.00000
1-2-0-0-0;0.65125;0.65125;0.59365
1-0-2-0-0;0.66659;0.66659;0.58428
1-0-0-2-0;0.66351;0.66351;0.58887
1-0-0-0-2;0.66181;0.66181;0.59785
0-1-2-0-0;0.65916;0.65916;0.59040
0-1-0-2-0;0.65959;0.65959;0.59074
0-1-0-0-2;0.65589;0.65589;0.60389
0-0-1-2-0;0.67620;0.67620;0.62767
0-0-1-0-2;0.67425;0.67425;0.62995
0-0-0-1-2;0.67579;0.67579;0.61288
1-2-3-0-0;0.66583;0.66481;0.65999
1-2-0-3-0;0.66695;0.66592;0.65981
1-2-0-0-3;0.66438;0.66323;0.65855
1-0-2-3-0;0.68251;0.68134;0.67411
1-0-2-0-3;0.67835;0.67733;0.67066
1-0-0-2-3;0.67805;0.67649;0.66860
0-1-2-3-0;0.67777;0.67674;0.67064
0-1-2-0-3;0.67380;0.67253;0.66684
0-1-0-2-3;0.67291;0.67227;0.66400
0-0-1-2-3;0.68569;0.68543;0.67836
1-2-3-4-0;0.66912;0.66775;0.66467
1-2-3-0-4;0.66573;0.66487;0.66143
1-2-0-3-4;0.66491;0.66379;0.65947
1-0-2-3-4;0.67632;0.67457;0.66981
0-1-2-3-4;0.67144;0.67033;0.66674
1-2-3-4-5;0.67636;0.67421;0.67054
