;coco_average_c=_v=0_d=0.5_a=-1;coco_average_c=_v=0_d=0.5_a=0;coco_average_c=_v=0_d=0.5_a=1
1-0-0-0-0;127;127;132
0-1-0-0-0;123;123;132
0-0-1-0-0;123;123;132
0-0-0-1-0;127;127;132
0-0-0-0-1;125;125;132
1-2-0-0-0;123;123;127
1-0-2-0-0;121;121;127
1-0-0-2-0;125;125;128
1-0-0-0-2;122;122;128
0-1-2-0-0;120;120;124
0-1-0-2-0;123;123;125
0-1-0-0-2;120;120;125
0-0-1-2-0;122;122;123
0-0-1-0-2;122;122;124
0-0-0-1-2;124;124;127
1-2-3-0-0;123;123;124
1-2-0-3-0;123;123;124
1-2-0-0-3;124;124;124
1-0-2-3-0;121;121;121
1-0-2-0-3;122;122;121
1-0-0-2-3;126;126;126
0-1-2-3-0;120;121;121
0-1-2-0-3;120;120;121
0-1-0-2-3;124;124;125
0-0-1-2-3;122;122;122
1-2-3-4-0;120;121;121
1-2-3-0-4;120;120;121
1-2-0-3-4;123;123;124
1-0-2-3-4;121;121;120
0-1-2-3-4;120;120;121
1-2-3-4-5;120;120;121
