;coco_average_c=_v=0_d=0.5_a=-1;coco_average_c=_v=0_d=0.5_a=0;coco_average_c=_v=0_d=0.5_a=1
1-0-0-0-0;0.67647;0.67647;1.00000
0-1-0-0-0;0.59283;0.59283;1.00000
0-0-1-0-0;0.58000;0.58000;1.00000
0-0-0-1-0;0.67681;0.67681;1.00000
0-0-0-0-1;0.68085;0.68085;1.00000
1-2-0-0-0;0.54453;0.54453;0.66964
1-0-2-0-0;0.51767;0.51767;0.69266
1-0-0-2-0;0.57359;0.57359;0.70901
1-0-0-0-2;0.58913;0.58913;0.70370
0-1-2-0-0;0.48425;0.48425;0.63616
0-1-0-2-0;0.52621;0.52621;0.64430
0-1-0-0-2;0.54918;0.54918;0.63474
0-0-1-2-0;0.53996;0.53996;0.60268
0-0-1-0-2;0.54881;0.54881;0.61036
0-0-0-1-2;0.60586;0.60586;0.68545
1-2-3-0-0;0.59519;0.58405;0.56198
1-2-0-3-0;0.59737;0.58333;0.55828
1-2-0-0-3;0.58874;0.58120;0.56198
1-0-2-3-0;0.56954;0.56209;0.52772
1-0-2-0-3;0.56360;0.55150;0.53878
1-0-0-2-3;0.61927;0.60674;0.57234
0-1-2-3-0;0.54255;0.53347;0.51619
0-1-2-0-3;0.54008;0.54008;0.52138
0-1-0-2-3;0.57860;0.57235;0.54886
0-0-1-2-3;0.56541;0.56167;0.53700
1-2-3-4-0;0.50722;0.49595;0.47665
1-2-3-0-4;0.50924;0.50407;0.48723
1-2-0-3-4;0.54352;0.53445;0.50395
1-0-2-3-4;0.52146;0.51266;0.48889
0-1-2-3-4;0.50309;0.50206;0.47835
1-2-3-4-5;0.53846;0.53503;0.51220
