;coco_average_c=_v=0_d=0.5_a=-1;coco_average_c=_v=0_d=0.5_a=0;coco_average_c=_v=0_d=0.5_a=1
1-0-0-0-0;0.65000;0.65000;nan
0-1-0-0-0;0.54651;0.54651;nan
0-0-1-0-0;0.49306;0.49306;nan
0-0-0-1-0;0.87500;0.87500;nan
0-0-0-0-1;0.56250;0.56250;nan
1-2-0-0-0;0.59028;0.59028;0.53846
1-0-2-0-0;0.60112;0.60112;0.63000
1-0-0-2-0;0.68056;0.68056;0.46970
1-0-0-0-2;0.61607;0.61607;0.63889
0-1-2-0-0;0.54592;0.54592;0.54651
0-1-0-2-0;0.58095;0.58095;0.52027
0-1-0-0-2;0.53793;0.53793;0.52632
0-0-1-2-0;0.48611;0.48611;0.49359
0-0-1-0-2;0.49306;0.49306;0.41228
0-0-0-1-2;0.56250;0.56250;0.87500
1-2-3-0-0;0.58120;0.57931;0.55660
1-2-0-3-0;0.55844;0.56190;0.55233
1-2-0-0-3;0.54839;0.55556;0.55414
1-0-2-3-0;0.58896;0.59686;0.53629
1-0-2-0-3;0.58784;0.59659;0.52880
1-0-0-2-3;0.87500;0.69444;0.46970
0-1-2-3-0;0.53591;0.56250;0.52016
0-1-2-0-3;0.53591;0.53591;0.51210
0-1-0-2-3;0.51852;0.51852;0.51351
0-0-1-2-3;0.46512;0.44186;0.48077
1-2-3-4-0;0.53886;0.57258;0.52419
1-2-3-0-4;0.53886;0.55204;0.51613
1-2-0-3-4;0.55844;0.58095;0.55303
1-0-2-3-4;0.53886;0.53846;0.52852
0-1-2-3-4;0.53591;0.51934;0.52885
1-2-3-4-5;0.53591;0.51934;0.50962
