;coco_average_c=_v=0_d=0.5_a=-1;coco_average_c=_v=0_d=0.5_a=0;coco_average_c=_v=0_d=0.5_a=1
1-0-0-0-0;0.60568;0.60568;0.00000
0-1-0-0-0;0.60282;0.60282;0.00000
0-0-1-0-0;0.63403;0.63403;0.00000
0-0-0-1-0;0.62668;0.62668;0.00000
0-0-0-0-1;0.62760;0.62760;0.00000
1-2-0-0-0;0.60597;0.60597;0.60609
1-0-2-0-0;0.62491;0.62491;0.60732
1-0-0-2-0;0.62427;0.62427;0.61146
1-0-0-0-2;0.62249;0.62249;0.60984
0-1-2-0-0;0.61424;0.61424;0.60998
0-1-0-2-0;0.61724;0.61724;0.61164
0-1-0-0-2;0.61243;0.61243;0.61095
0-0-1-2-0;0.63490;0.63490;0.63416
0-0-1-0-2;0.63557;0.63557;0.63391
0-0-0-1-2;0.63879;0.63879;0.61953
1-2-3-0-0;0.61487;0.61386;0.61210
1-2-0-3-0;0.61686;0.61640;0.61275
1-2-0-0-3;0.61609;0.61545;0.61188
1-0-2-3-0;0.63502;0.63338;0.62920
1-0-2-0-3;0.63410;0.63322;0.62818
1-0-0-2-3;0.63236;0.63143;0.62444
0-1-2-3-0;0.62736;0.62678;0.62232
0-1-2-0-3;0.62622;0.62462;0.62187
0-1-0-2-3;0.62587;0.62491;0.61929
0-0-1-2-3;0.63851;0.63905;0.63401
1-2-3-4-0;0.62310;0.62120;0.61887
1-2-3-0-4;0.62064;0.62011;0.61823
1-2-0-3-4;0.62148;0.62049;0.61826
1-0-2-3-4;0.63343;0.63252;0.62855
0-1-2-3-4;0.62516;0.62445;0.62231
1-2-3-4-5;0.62952;0.62740;0.62554
