;coco_average_c=_v=0_d=0.5_a=-1;coco_average_c=_v=0_d=0.5_a=0;coco_average_c=_v=0_d=0.5_a=1
1-0-0-0-0;9931754;9931754;0
0-1-0-0-0;10187829;10187829;0
0-0-1-0-0;8775431;8775431;0
0-0-0-1-0;9450401;9450401;0
0-0-0-0-1;8856213;8856213;0
1-2-0-0-0;12165217;12165217;7672200
1-0-2-0-0;11668170;11668170;6446824
1-0-0-2-0;12120970;12120970;6785317
1-0-0-0-2;11906469;11906469;6723652
0-1-2-0-0;11756320;11756320;6677292
0-1-0-2-0;12073334;12073334;7178194
0-1-0-0-2;11838682;11838682;7030930
0-0-1-2-0;11316612;11316612;6629605
0-0-1-0-2;10936533;10936533;6638990
0-0-0-1-2;11663878;11663878;6419946
1-2-3-0-0;13140294;9423269;5949736
1-2-0-3-0;13400012;9533231;6226468
1-2-0-0-3;13217093;9569119;6092923
1-0-2-3-0;13041091;9093722;5639342
1-0-2-0-3;12932933;8992586;5689709
1-0-0-2-3;13376291;9237911;5653382
0-1-2-3-0;12976945;9137406;5933945
0-1-2-0-3;12988622;9195221;5996669
0-1-0-2-3;13224741;9263820;5855878
0-0-1-2-3;12647880;8721258;5704816
1-2-3-4-0;14098981;10480820;7763604
1-2-3-0-4;13894597;10479007;7729534
1-2-0-3-4;14298888;10575321;7932156
1-0-2-3-4;13854565;10044013;7363386
0-1-2-3-4;13845055;10234335;7446005
1-2-3-4-5;11408990;8920990;6957285
