;coco_average_c=_v=0_d=0.5_a=-1;coco_average_c=_v=0_d=0.5_a=0;coco_average_c=_v=0_d=0.5_a=1
1-0-0-0-0;0.16064;0.16064;0.46771
0-1-0-0-0;0.19026;0.19026;0.48583
0-0-1-0-0;0.14842;0.14842;0.46998
0-0-0-1-0;0.11626;0.11626;0.44647
0-0-0-0-1;0.11350;0.11350;0.44529
1-2-0-0-0;0.21092;0.21092;0.24180
1-0-2-0-0;0.20195;0.20195;0.24688
1-0-0-2-0;0.18860;0.18860;0.22957
1-0-0-0-2;0.18728;0.18728;0.22416
0-1-2-0-0;0.22203;0.22203;0.25571
0-1-0-2-0;0.21103;0.21103;0.24564
0-1-0-0-2;0.21009;0.21009;0.23744
0-0-1-2-0;0.17355;0.17355;0.19798
0-0-1-0-2;0.17240;0.17240;0.19430
0-0-0-1-2;0.14939;0.14939;0.18639
1-2-3-0-0;0.19179;0.19245;0.19419
1-2-0-3-0;0.18639;0.18695;0.18949
1-2-0-0-3;0.19070;0.19124;0.19354
1-0-2-3-0;0.18036;0.18126;0.18406
1-0-2-0-3;0.18215;0.18283;0.18550
1-0-0-2-3;0.16848;0.16906;0.17332
0-1-2-3-0;0.19593;0.19647;0.19928
0-1-2-0-3;0.19938;0.20024;0.20227
0-1-0-2-3;0.18805;0.18872;0.19212
0-0-1-2-3;0.16358;0.16347;0.16650
1-2-3-4-0;0.21414;0.21528;0.21693
1-2-3-0-4;0.21713;0.21765;0.21918
1-2-0-3-4;0.20925;0.20998;0.21186
1-0-2-3-4;0.19809;0.19885;0.20110
0-1-2-3-4;0.21311;0.21363;0.21518
1-2-3-4-5;0.19895;0.20013;0.20163
