;coco_average_c=_v=0_d=0.5_a=-1;coco_average_c=_v=0_d=0.5_a=0;coco_average_c=_v=0_d=0.5_a=1
1-0-0-0-0;0.17799;0.17799;1.00000
0-1-0-0-0;0.16410;0.16410;1.00000
0-0-1-0-0;0.16266;0.16266;1.00000
0-0-0-1-0;0.18628;0.18628;1.00000
0-0-0-0-1;0.19343;0.19343;1.00000
1-2-0-0-0;0.13983;0.13983;0.18713
1-0-2-0-0;0.12893;0.12893;0.19228
1-0-0-2-0;0.13724;0.13724;0.19736
1-0-0-0-2;0.14291;0.14291;0.19329
0-1-2-0-0;0.12446;0.12446;0.17906
0-1-0-2-0;0.12904;0.12904;0.18582
0-1-0-0-2;0.13669;0.13669;0.17934
0-0-1-2-0;0.13762;0.13762;0.17735
0-0-1-0-2;0.14038;0.14038;0.17642
0-0-0-1-2;0.15046;0.15046;0.20026
1-2-3-0-0;0.14867;0.14940;0.15213
1-2-0-3-0;0.15112;0.15182;0.15538
1-2-0-0-3;0.14891;0.14962;0.15242
1-0-2-3-0;0.14020;0.14091;0.14528
1-0-2-0-3;0.14003;0.14071;0.14461
1-0-0-2-3;0.14837;0.14932;0.15400
0-1-2-3-0;0.13509;0.13567;0.13930
0-1-2-0-3;0.13547;0.13620;0.13951
0-1-0-2-3;0.14226;0.14268;0.14747
0-0-1-2-3;0.14619;0.14640;0.15057
1-2-3-4-0;0.12315;0.12401;0.12600
1-2-3-0-4;0.12356;0.12414;0.12620
1-2-0-3-4;0.12834;0.12907;0.13177
1-0-2-3-4;0.12478;0.12587;0.12891
0-1-2-3-4;0.12090;0.12159;0.12385
1-2-3-4-5;0.13184;0.13312;0.13531
