;coco_average_c=_v=0_d=0.5_a=-1;coco_average_c=_v=0_d=0.5_a=0;coco_average_c=_v=0_d=0.5_a=1
1-0-0-0-0;0.04481;0.04481;nan
0-1-0-0-0;0.04593;0.04593;nan
0-0-1-0-0;0.03941;0.03941;nan
0-0-0-1-0;0.04285;0.04285;nan
0-0-0-0-1;0.04028;0.04028;nan
1-2-0-0-0;0.05400;0.05400;0.03520
1-0-2-0-0;0.05164;0.05164;0.02976
1-0-0-2-0;0.05382;0.05382;0.03128
1-0-0-0-2;0.05288;0.05288;0.03089
0-1-2-0-0;0.05201;0.05201;0.03080
0-1-0-2-0;0.05343;0.05343;0.03307
0-1-0-0-2;0.05265;0.05265;0.03223
0-0-1-2-0;0.05026;0.05026;0.03028
0-0-1-0-2;0.04849;0.04849;0.03031
0-0-0-1-2;0.05186;0.05186;0.02964
1-2-3-0-0;0.05860;0.04245;0.02722
1-2-0-3-0;0.05966;0.04285;0.02845
1-2-0-0-3;0.05873;0.04297;0.02776
1-0-2-3-0;0.05778;0.04070;0.02566
1-0-2-0-3;0.05724;0.04020;0.02588
1-0-0-2-3;0.05927;0.04139;0.02584
0-1-2-3-0;0.05746;0.04084;0.02695
0-1-2-0-3;0.05748;0.04111;0.02724
0-1-0-2-3;0.05867;0.04149;0.02675
0-0-1-2-3;0.05600;0.03906;0.02596
1-2-3-4-0;0.06211;0.04654;0.03484
1-2-3-0-4;0.06118;0.04652;0.03472
1-2-0-3-4;0.06303;0.04707;0.03571
1-0-2-3-4;0.06094;0.04462;0.03312
0-1-2-3-4;0.06083;0.04534;0.03340
1-2-3-4-5;0.05065;0.03995;0.03145
