;coco_average_c=_v=0_d=0.5_a=-1;coco_average_c=_v=0_d=0.5_a=0;coco_average_c=_v=0_d=0.5_a=1
1-0-0-0-0;0.13931;0.13931;0.00000
0-1-0-0-0;0.15561;0.15561;0.00000
0-0-1-0-0;0.12955;0.12955;0.00000
0-0-0-1-0;0.11161;0.11161;0.00000
0-0-0-0-1;0.10926;0.10926;0.00000
1-2-0-0-0;0.18349;0.18349;0.12707
1-0-2-0-0;0.18067;0.18067;0.11919
1-0-0-2-0;0.17503;0.17503;0.11002
1-0-0-0-2;0.17057;0.17057;0.11807
0-1-2-0-0;0.19184;0.19184;0.13172
0-1-0-2-0;0.18591;0.18591;0.12259
0-1-0-0-2;0.18215;0.18215;0.13280
0-0-1-2-0;0.16218;0.16218;0.11154
0-0-1-0-2;0.16104;0.16104;0.11538
0-0-0-1-2;0.14858;0.14858;0.09965
1-2-3-0-0;0.16050;0.16050;0.16138
1-2-0-3-0;0.15670;0.15643;0.15772
1-2-0-0-3;0.16144;0.16151;0.16245
1-0-2-3-0;0.15287;0.15300;0.15451
1-0-2-0-3;0.15731;0.15711;0.15935
1-0-0-2-3;0.14886;0.14900;0.15107
0-1-2-3-0;0.16239;0.16232;0.16366
0-1-2-0-3;0.16600;0.16640;0.16766
0-1-0-2-3;0.15989;0.15976;0.16232
0-0-1-2-3;0.14348;0.14320;0.14516
1-2-3-4-0;0.18406;0.18406;0.18387
1-2-3-0-4;0.18705;0.18680;0.18712
1-2-0-3-4;0.18291;0.18272;0.18298
1-0-2-3-4;0.17588;0.17601;0.17679
0-1-2-3-4;0.18394;0.18406;0.18413
1-2-3-4-5;0.16773;0.16819;0.16846
