;coco_average_c=_v=0_d=0.5_a=-1;coco_average_c=_v=0_d=0.5_a=0;coco_average_c=_v=0_d=0.5_a=1
1-0-0-0-0;0.13348;0.13348;0.00000
0-1-0-0-0;0.19198;0.19198;0.00000
0-0-1-0-0;0.14889;0.14889;0.00000
0-0-0-1-0;0.10304;0.10304;0.00000
0-0-0-0-1;0.09456;0.09456;0.00000
1-2-0-0-0;0.22470;0.22470;0.14509
1-0-2-0-0;0.20374;0.20374;0.12156
1-0-0-2-0;0.17100;0.17100;0.11547
1-0-0-0-2;0.16739;0.16739;0.11343
0-1-2-0-0;0.24606;0.24606;0.14509
0-1-0-2-0;0.22782;0.22782;0.14318
0-1-0-0-2;0.21516;0.21516;0.14699
0-0-1-2-0;0.17279;0.17279;0.14509
0-0-1-0-2;0.16920;0.16920;0.13739
0-0-0-1-2;0.13739;0.13739;0.10094
1-2-3-0-0;0.16193;0.17457;0.20868
1-2-0-3-0;0.16193;0.18162;0.21677
1-2-0-0-3;0.17100;0.18162;0.20868
1-0-2-3-0;0.15453;0.16558;0.21355
1-0-2-0-3;0.16009;0.17811;0.19706
1-0-0-2-3;0.12156;0.13933;0.18511
0-1-2-3-0;0.18511;0.19874;0.22470
0-1-2-0-3;0.19198;0.19198;0.21996
0-1-0-2-3;0.16376;0.17279;0.20374
0-0-1-2-3;0.15078;0.15639;0.19027
1-2-3-4-0;0.21031;0.22470;0.25486
1-2-3-0-4;0.21355;0.22154;0.24754
1-2-0-3-4;0.18684;0.20042;0.24308
1-0-2-3-4;0.17811;0.19198;0.22626
0-1-2-3-4;0.21031;0.21193;0.24606
1-2-3-4-5;0.18162;0.18684;0.22154
