;coco_average_c=_v=0_d=0.5_a=-1;coco_average_c=_v=0_d=0.5_a=0;coco_average_c=_v=0_d=0.5_a=1
1-0-0-0-0;8277;8277;0
0-1-0-0-0;8407;8407;0
0-0-1-0-0;8485;8485;0
0-0-0-1-0;8247;8247;0
0-0-0-0-1;8169;8169;0
1-2-0-0-0;8648;8648;8198
1-0-2-0-0;8793;8793;8157
1-0-0-2-0;8699;8699;8121
1-0-0-0-2;8637;8637;8148
0-1-2-0-0;8828;8828;8283
0-1-0-2-0;8781;8781;8225
0-1-0-0-2;8691;8691;8277
0-0-1-2-0;8721;8721;8352
0-0-1-0-2;8689;8689;8354
0-0-0-1-2;8591;8591;8114
1-2-3-0-0;8587;8578;8542
1-2-0-3-0;8565;8557;8510
1-2-0-0-3;8582;8573;8536
1-0-2-3-0;8708;8699;8642
1-0-2-0-3;8701;8693;8640
1-0-0-2-3;8616;8604;8542
0-1-2-3-0;8752;8745;8697
0-1-2-0-3;8740;8730;8686
0-1-0-2-3;8668;8663;8598
0-0-1-2-3;8654;8652;8597
1-2-3-4-0;8860;8849;8824
1-2-3-0-4;8849;8842;8815
1-2-0-3-4;8796;8787;8752
1-0-2-3-4;8855;8841;8801
0-1-2-3-4;8889;8880;8851
1-2-3-4-5;8782;8765;8737
