;coco_average_c=_v=0_d=0.5_a=-1;coco_average_c=_v=0_d=0.5_a=0;coco_average_c=_v=0_d=0.5_a=1
1-0-0-0-0;2635;2635;11004
0-1-0-0-0;2483;2483;11004
0-0-1-0-0;2385;2385;11004
0-0-0-1-0;2656;2656;11004
0-0-0-0-1;2731;2731;11004
1-2-0-0-0;2229;2229;2716
1-0-2-0-0;2061;2061;2758
1-0-0-2-0;2176;2176;2801
1-0-0-0-2;2241;2241;2771
0-1-2-0-0;2023;2023;2612
0-1-0-2-0;2089;2089;2674
0-1-0-0-2;2183;2183;2619
0-0-1-2-0;2137;2137;2528
0-0-1-0-2;2172;2172;2528
0-0-0-1-2;2289;2289;2792
1-2-3-0-0;2293;2301;2339
1-2-0-3-0;2317;2325;2373
1-2-0-0-3;2300;2309;2346
1-0-2-3-0;2156;2165;2221
1-0-2-0-3;2163;2171;2223
1-0-0-2-3;2266;2278;2339
0-1-2-3-0;2109;2117;2165
0-1-2-0-3;2122;2132;2177
0-1-0-2-3;2207;2212;2277
0-0-1-2-3;2210;2212;2266
1-2-3-4-0;1991;2002;2027
1-2-3-0-4;2004;2011;2039
1-2-0-3-4;2069;2078;2113
1-0-2-3-4;1994;2008;2046
0-1-2-3-4;1961;1970;1999
1-2-3-4-5;2076;2093;2122
